"Text","Total Tokens","TTR 500","TTR 1000","TTR 2000","TTR 4051"
"1897-Alice-Macdonald-Fleming-A-Pinchbeck-Goddess-1897-fiction.txt", 69286,53.3,44.9,37.2,30.2
"Alice-Elizabeth-Dracott-Simla-Village-Tales-or-Folk-Tales-from-the-Himalayas-1906-fiction.txt", 41675,45.0,36.4,28.9,22.5
"Annie-Besant-The-Case-for-India-1917-Nonfiction.txt", 18153,51.5,44.6,38.3,31.8
"Arthur-Conan-Doyle-The-Sign-of-the-Four-1890.txt", 43804,51.4,42.9,35.4,28.7
"B-M-Croker-Dianna-Barrington-A-Romance-of-Central-India-1888-fiction.txt", 138618,53.6,45.5,38.0,31.2
"B-M-Croker-Proper-Pride-1882-fiction.txt", 105895,54.3,46.2,38.7,31.8
"B-M-Croker-Rolling-Stone-1911.txt", 89296,54.2,45.9,38.3,31.2
"Bankim-Chandra-Chatterji-Anandamath-Dawn-Over-India-Translation-1940.txt", 44188,48.3,40.6,33.4,27.1
"Bankim-Chandra-Chatterji-Kapalkundala-Translation-1919-fiction.txt", 34175,52.2,44.6,37.3,30.6
"Bankim-Chandra-Chatterji-Krishnakantas-Will-1917-fiction-translation.txt", 37776,45.4,37.2,29.9,23.5
"Bankim-Chandra-Chatterji-Rajmohans-Wife-a-Novel-1864-fiction.txt", 36178,50.7,43.2,36.3,30.0
"Bankim-Chandra-Chatterji-The-Poison-Tree-A-Tale-of-Hindu-Life-in-Bengal.txt", 48512,48.7,40.8,33.6,27.0
"Collected-Poems-of-Henry-Derozio-Downloadable.txt", 46855,55.0,46.5,38.5,31.0
"Cornelia-Sorabji-Between-the-Twilights-1908-nonfiction.txt", 37512,52.4,45.0,38.0,31.5
"Cornelia-Sorabji-Indian-Tales-of-the-Great-Ones-Among-Men-and-Bird-People-Fiction.txt", 10972,44.2,36.4,30.0,24.4
"Cornelia-Sorabji-Love-and-Life-Beyond-the-Purdah-1901-fiction.txt", 39647,54.5,46.9,39.6,33.1
"Cornelia-Sorabji-Shubala-A-Child-Mother-1920-nonfiction.txt", 4382,50.6,43.5,37.4,30.8
"Cornelia-Sorabji-Sun-Babies-Studies-in-the-Child-Life-of-India-1904-Fiction.txt", 28045,50.4,42.7,35.9,29.8
"Dhan-Gopal-Mukerji-Beast-and-Man-in-India-1923.txt", 67104,47.9,39.7,32.5,26.2
"Dhan-Gopal-Mukerji-Kari-the-Elephant-1922-Fiction.txt", 19911,46.6,38.0,30.5,23.9
"Dhan-Gopal-Mukerji-Layla-Majnu-A-Musical-Play-in-Three-Acts-1916-Drama.txt", 8622,47.6,40.1,33.3,27.4
"Dhan-Gopal-Mukerji-Rajani-Songs-of-the-Night-1916-Poetry.txt", 6846,53.5,45.5,37.4,29.5
"Dhan-Gopal-Mukerji-Songs-of-Twilight-1917-Poetry.txt", 8306,55.3,46.8,38.7,30.7
"E-M-Forster-A-Passage-to-India-1923-fiction.txt", 102972,53.5,45.2,37.6,30.6
"Edmund-Candler-Abdication-1922-fiction.txt", 82903,52.6,45.5,39.1,33.1
"Edmund-Candler-Siri-Ram-Revolutionist-A-Transcript-from-Life-Fiction.txt", 65791,53.9,46.9,40.4,34.2
"Edmund-Candler-The-Mantle-of-the-East-1910-Nonfiction.txt", 64745,55.4,48.4,42.0,35.9
"Edmund-Candler-The-Sepoy-1919-Nonfiction.txt", 48275,51.7,44.3,37.6,31.3
"Edmund-Candler-The-Year-of-Chivalry-1916-nonfiction.txt", 77337,54.0,46.8,40.1,34.0
"Edward-S-Ellis-The-Jungle-Fugitives-A-Tale-of-Life-and-Adventure-in-India-1903-Fiction.txt", 72165,51.6,43.3,35.8,28.9
"F-W-Bain-Digit-of-the-Moon-A-Hindoo-Love-Story-Translation-Fiction-1901.txt", 29953,47.7,39.9,32.3,25.7
"Flora-Annie-Steel-A-Prince-of-Dreamers-1909-fiction.txt", 107231,55.2,47.0,39.3,32.1
"Flora-Annie-Steel-Adventures-of-Akbar-1913.txt", 48991,52.0,43.2,35.1,27.8
"Flora-Annie-Steel-From-the-Five-Rivers.txt", 47824,55.1,47.0,39.5,32.3
"Flora-Annie-Steel-On-the-face-of-the-waters.txt", 179506,53.3,45.2,37.7,30.8
"Flora-Annie-Steel-Tales-of-the-Punjab-Folklore-of-India.txt", 82849,47.4,39.1,31.8,25.3
"Flora-Annie-Steel-The-Flower-of-Forgiveness-1894-fiction.txt", 83093,54.4,46.2,38.6,31.5
"Flora-Annie-Steel-The-Potters-Thumb-1900.txt", 130714,53.3,44.9,37.3,30.1
"Flora-Annie-Steel-Voices-in-the-Night-1900.txt", 143280,52.8,44.6,37.1,30.3
"Frederick-P-Gibbon-The-Disputed-V-C-A-Tale-of-the-Indian-Mutiny.txt", 101845,53.5,45.5,38.1,31.1
"G-A-Henty-At-The-Point-of-the-Bayonet-A-Tale-of-the-Mahratta-War.txt", 135271,48.3,39.6,31.8,25.0
"G-A-Henty-In-Times-of-Peril-A-Tale-of-India-Fiction.txt", 108594,49.8,41.5,34.0,27.1
"G-A-Henty-Rujub-the-Juggler-Fiction.txt", 150486,47.2,38.3,30.5,23.7
"G-A-Henty-The-Tiger-of-Mysore-A-Story-of-the-War-With-Tippoo-Sahib.txt", 138126,47.8,38.8,31.0,24.2
"G-A-Henty-Through-the-Sikh-War-A-Tale-of-the-conquest-ofthe-Punjab-Fiction.txt", 131353,48.3,39.5,31.6,24.8
"George-Manville-Fenn-Begumbach-A-Tale-of-the-Indian-Mutiny-Fiction.txt", 63723,48.1,38.8,30.7,23.7
"Georgene-Faulkner-The-White-Elephant-and-Other-Tales-from-Old-India-1929-fiction.txt", 17775,38.8,30.4,23.6,18.4
"Helen-S-Dyer-Pandita-Ramabai-The-Story-of-her-Life-1900-nonfiction.txt", 39374,51.4,43.8,36.9,30.4
"Henry-Louis-Vivian-Derozio-Poems-1923-poetry.txt", 49121,54.7,46.4,38.5,31.0
"Inayat-Khan-and-Jessie-Duncan-Westbrook-Hindustani-Lyrics-1919-poetry.txt", 9331,53.0,45.1,37.4,30.3
"John-Lockwood-Kipling-Beast-and-Man-in-India.txt", 95512,55.2,48.4,42.0,35.8
"Katherine-Mayo-Mother-India-1937-nonfiction-copyright.txt", 111411,56.7,49.4,42.3,35.3
"Krupabai-Satthianadhan-Kamala-A-Story-of-Hindu-Life-1894-fiction.txt", 65821,49.6,41.7,34.5,27.8
"Leonard-Woolf-Stories-of-the-East-1921-fiction.txt", 14583,47.2,39.2,32.0,25.8
"Leonard-Woolf-The-Village-in-the-Jungle-1913-fiction.txt", 68638,44.3,36.0,28.7,22.2
"M-Frere-Old-Deccan-Days-or-Hindoo-Fariy-Legends-Current-in-Southern-India-1870-Fiction.txt", 104670,44.9,35.8,28.0,21.4
"Major-J-F-A-McNair-Oral-Tales-From-the-Indus-1908-fiction.txt", 42889,49.3,41.7,35.1,29.0
"Maud-Diver-Captain-Desmond-V-C-Fiction.txt", 119562,54.8,46.6,38.7,31.4
"Maud-Diver-Far-to-Seek-Fiction.txt", 153290,55.4,47.6,40.2,33.2
"Maud-Diver-Lilaman-1911-Fiction.txt", 127767,55.8,47.5,39.8,32.6
"Maud-Diver-The-Great-Amulet-1915.txt", 145693,56.0,48.0,40.4,33.3
"Maud-Diver-Unconquered-1917-fiction.txt", 113383,55.2,47.2,39.5,32.4
"Michael-S-Dutt-Sermista-A-Drama-in-Five-Acts-1859-drama.txt", 19623,53.3,44.5,36.4,28.9
"P-W-Jacob-Hindoo-Tales-or-The-Adventures-of-Ten-Princes-Translation-Fiction-1873.txt", 53184,50.8,42.2,34.5,27.4
"Pandita-Ramabai-The-High-Caste-Hindu-Woman-1888-nonfiction.txt", 29726,52.4,44.7,37.7,31.2
"Peary-Chand-Mitter-A-Biographical-Sketch-of-David-Hare-1877-nonfiction.txt", 52642,50.6,43.7,37.4,31.4
"Peary-Chand-Mitter-The-Spoilt-Child-A-Tale-of-Hindu-Domestic-Life-1893.txt", 70205,52.3,44.2,37.1,30.6
"Rabindanath-Tagore-Gitanjali-1913.txt", 14561,47.7,40.2,33.1,26.4
"Rabindranath-Tagore-Gora-1924.txt", 175012,48.9,40.4,32.8,26.0
"Rabindranath-Tagore-Mashi-and-other-stories-1918.txt", 37164,50.7,42.7,35.5,29.2
"Rabindranath-Tagore-My-Reminisces.txt", 58709,52.8,45.3,38.6,32.3
"Rabindranath-Tagore-Stories-From-Tagore-1918.txt", 48227,50.4,42.6,35.5,29.1
"Rabindranath-Tagore-The-Gardener-1915.txt", 14099,46.6,39.4,32.7,26.1
"Rabindranath-Tagore-The-Home-And-The-World-1919.txt", 69111,50.2,41.9,34.6,28.1
"Rabindranath-Tagore-The-Hungry-Stones-and-other-stories.txt", 49194,50.0,41.9,34.6,28.0
"Rabindranath-Tagore-The-Post-Office.txt", 7674,42.4,33.2,25.6,19.4
"Rokeya-Sakhawat-Hossain-Sultanas-Dream-1905-fiction.txt", 4051,49.6,41.5,34.1,27.5
"Rudyard-Kipling-Departmental-Ditties-and-Barrack-Room-Ballads-Poetry.txt", 30468,51.1,44.2,37.8,31.8
"Rudyard-Kipling-In-Black-and-White.txt", 93474,51.3,43.3,36.0,29.4
"Rudyard-Kipling-Just-So-Stories.txt", 30540,41.5,32.8,25.7,19.9
"Rudyard-Kipling-Kim.txt", 108911,53.2,44.9,37.3,30.4
"Rudyard-Kipling-Plain-Tales-From-the-Hills.txt", 74210,50.4,42.5,35.3,29.0
"Rudyard-Kipling-Soldiers-Three-Fiction.txt", 93354,49.2,40.8,33.4,27.1
"Rudyard-Kipling-The-City-of-Dreadful-Night-1899-Fiction.txt", 19088,54.6,47.1,39.9,33.3
"Rudyard-Kipling-The-Jungle-Book.txt", 52344,48.2,39.3,31.5,24.7
"Rudyard-Kipling-The-Man-Who-Would-Be-King.txt", 14864,48.8,39.9,32.2,25.3
"Rudyard-Kipling-The-Phantom-Rickshaw.txt", 47297,50.7,42.5,35.1,28.4
"Rudyard-Kipling-The-Second-Jungle-Book-fiction.txt", 65555,50.1,41.5,33.7,26.6
"Rudyard-Kipling-and-Wolcott-Balestier-The-Naulahka-1891-fiction.txt", 86465,51.2,43.5,36.5,30.1
"S-B-Banerjea-Tales-of-Bengal-Fiction.txt", 46332,55.0,47.3,40.3,33.4
"S-M-Edwardes-By-Ways-of-Bombay-Fiction.txt", 30912,55.7,49.2,43.1,37.2
"Sara-Jeannette-Duncan-Hilda-A-Story-of-Calcutta-1898.txt", 87618,53.2,45.4,38.2,31.6
